entity,added,deleted,commits
pkg/controlplane/instance.go,789,975,142
test/conformance/testdata/conformance.yaml,912,347,142
hack/lib/golang.sh,739,549,137
pkg/volume/util/operationexecutor/operation_generator.go,673,684,136
staging/src/k8s.io/client-go/applyconfigurations/utils.go,866,355,135
pkg/api/pod/util.go,1372,801,135
test/e2e/kubectl/kubectl.go,1088,727,135
pkg/kubelet/kuberuntime/kuberuntime_container.go,1118,546,134
pkg/scheduler/framework/plugins/dynamicresources/dynamicresources.go,3210,2300,133
staging/src/k8s.io/endpointslice/go.mod,256,183,132
pkg/scheduler/framework/runtime/framework_test.go,2141,885,132
pkg/scheduler/scheduler.go,1111,1171,129
staging/src/k8s.io/apiextensions-apiserver/pkg/apiserver/schema/cel/validation_test.go,4057,310,129
pkg/proxy/ipvs/proxier_test.go,2576,2278,126
staging/src/k8s.io/apiserver/pkg/storage/etcd3/store_test.go,2560,3566,125
test/e2e_node/device_plugin_test.go,3907,1088,125
test/integration/scheduler/queue_test.go,3376,3545,124
cmd/kube-controller-manager/app/core.go,588,290,122
test/integration/etcd/data.go,757,479,119
test/e2e/framework/pod/wait.go,2066,1697,119
staging/src/k8s.io/kubectl/pkg/describe/describe.go,749,575,118
test/e2e/dra/dra.go,5247,2655,117
test/e2e/feature/feature.go,971,376,117
test/integration/util/util.go,1546,303,117
staging/src/k8s.io/cloud-provider/controllers/service/controller_test.go,7064,7346,117
pkg/proxy/winkernel/proxier.go,2423,1018,116
test/e2e/storage/drivers/in_tree.go,1031,1561,116
api/api-rules/violation_exceptions.list,69,411,114
CHANGELOG/CHANGELOG-1.25.md,9489,25776,113
api/openapi-spec/v3/apis__storage.k8s.io__v1_openapi.json,4439,1167,112
cluster/gce/gci/configure-helper.sh,426,194,112
pkg/scheduler/framework/interface.go,474,157,112
test/integration/scheduler_perf/scheduler_perf.go,4170,1726,110
test/integration/scheduler_perf/config/performance-config.yaml,1943,2566,110
test/e2e/framework/test_context.go,466,309,109
staging/src/k8s.io/apiextensions-apiserver/pkg/apiserver/schema/cel/validation.go,1039,329,108
staging/src/k8s.io/kubectl/pkg/describe/describe_test.go,2904,1024,107
pkg/printers/internalversion/printers.go,1221,580,106
staging/src/k8s.io/cri-client/go.sum,620,384,106
cmd/kube-controller-manager/app/controllermanager.go,748,552,106
pkg/kubelet/kubelet_pods_test.go,4729,1421,105
pkg/scheduler/framework/preemption/preemption.go,792,616,105
cmd/kube-controller-manager/app/options/options_test.go,1225,294,105
pkg/api/pod/util_test.go,5468,2710,104
staging/src/k8s.io/apiextensions-apiserver/pkg/apiserver/schema/cel/compilation.go,497,251,104
staging/src/k8s.io/apiserver/pkg/storage/etcd3/store.go,1211,898,103
CHANGELOG/CHANGELOG-1.27.md,9890,20133,103
api/openapi-spec/v3/apis__networking.k8s.io__v1_openapi.json,5940,1619,102
pkg/proxy/nftables/proxier.go,3787,1822,102
cmd/kube-apiserver/app/server.go,415,789,100
staging/src/k8s.io/apiserver/pkg/server/options/encryptionconfig/config.go,1361,647,100
hack/golangci.yaml,360,61,99
staging/src/k8s.io/apiserver/pkg/storage/testing/store_tests.go,4399,798,98
test/e2e/apps/job.go,1842,729,97
hack/update-codegen.sh,1664,698,97
pkg/controller/statefulset/stateful_set_control_test.go,2868,794,97
pkg/kubelet/cm/container_manager_linux.go,364,496,96
cluster/gce/util.sh,343,187,95
pkg/printers/internalversion/printers_test.go,3770,918,94
test/e2e_node/container_lifecycle_test.go,9162,3116,94
pkg/kubelet/kuberuntime/kuberuntime_manager_test.go,3532,1103,94
pkg/kubelet/metrics/metrics.go,805,283,94
pkg/kubelet/status/status_manager.go,1189,600,93
staging/src/k8s.io/kubectl/pkg/cmd/wait/wait.go,826,1074,93
staging/src/k8s.io/cloud-provider/controllers/service/controller.go,854,649,93
pkg/scheduler/framework/plugins/defaultpreemption/default_preemption_test.go,866,501,91
cluster/gce/gci/configure.sh,319,246,91
test/integration/scheduler_perf/scheduler_perf_test.go,764,1890,91
cmd/kube-proxy/app/server_others.go,735,1278,91
test/e2e/network/loadbalancer.go,3151,2981,90
vendor/golang.org/x/sys/unix/syscall_linux.go,1995,1293,90
pkg/scheduler/framework/plugins/dynamicresources/dynamicresources_test.go,3367,1699,89
staging/src/k8s.io/mount-utils/mount_linux.go,674,364,89
api/openapi-spec/v3/apis__discovery.k8s.io__v1_openapi.json,741,215,88
pkg/apis/core/v1/zz_generated.conversion.go,3189,2387,88
test/e2e_node/util.go,353,219,88
staging/src/k8s.io/apiserver/pkg/server/options/encryptionconfig/config_test.go,2404,546,88
pkg/kubelet/server/server.go,473,236,87
pkg/controller/disruption/disruption.go,436,246,87
pkg/kubelet/cm/devicemanager/manager.go,718,474,87
staging/src/k8s.io/api/core/v1/generated.pb.go,54848,47573,86
vendor/golang.org/x/sys/unix/ztypes_linux.go,7677,748,86
test/e2e/apimachinery/aggregator.go,783,523,86
hack/tools/go.mod,1790,1163,85
vendor/golang.org/x/sys/windows/syscall_windows.go,1025,333,85
hack/golangci-strict.yaml,296,297,84
test/e2e/framework/autoscaling/autoscaling_utils.go,723,391,83
pkg/volume/plugins.go,155,235,83
cluster/images/etcd/Makefile,208,208,83
staging/src/k8s.io/client-go/rest/request.go,1088,525,83
test/e2e/framework/network/utils.go,344,388,83
CHANGELOG/CHANGELOG-1.28.md,9695,16634,83
staging/src/k8s.io/apiextensions-apiserver/pkg/apiserver/schema/cel/compilation_test.go,1718,233,83
pkg/controller/disruption/disruption_test.go,551,202,83
test/e2e/common/node/container_probe.go,1929,270,81
pkg/apis/core/zz_generated.deepcopy.go,775,99,80
vendor/golang.org/x/sys/unix/zerrors_linux.go,2482,105,80
hack/lib/etcd.sh,139,124,80
vendor/golang.org/x/sys/unix/zsyscall_linux.go,942,180,80
api/openapi-spec/v3/apis__autoscaling__v2_openapi.json,1021,264,79
staging/src/k8s.io/api/core/v1/zz_generated.deepcopy.go,770,99,79
staging/src/k8s.io/api/batch/v1/types.go,483,125,79
api/openapi-spec/v3/apis__apiextensions.k8s.io__v1_openapi.json,900,245,78
test/e2e/storage/drivers/csi.go,265,232,78
api/openapi-spec/v3/apis__admissionregistration.k8s.io__v1_openapi.json,5638,1419,77
staging/src/k8s.io/cri-api/pkg/apis/runtime/v1/api.pb.go,28153,15596,77
CHANGELOG/CHANGELOG-1.24.md,10606,32589,77
api/openapi-spec/v3/apis__batch__v1beta1_openapi.json,1384,7207,77
api/openapi-spec/v3/apis__node.k8s.io__v1_openapi.json,642,213,76
staging/src/k8s.io/cri-client/go.mod,239,152,76
staging/src/k8s.io/cri-api/pkg/apis/runtime/v1/api.proto,702,77,75
plugin/pkg/auth/authorizer/rbac/bootstrappolicy/policy.go,255,163,75
pkg/scheduler/testing/wrappers.go,1545,424,75
pkg/kubelet/cm/dra/manager.go,1381,826,75
test/instrumentation/testdata/stable-metrics-list.yaml,1188,835,75
staging/src/k8s.io/apiserver/pkg/server/genericapiserver.go,676,351,75
hack/tools/go.sum,4284,4611,75
test/e2e/apps/statefulset.go,2698,632,75
test/integration/apiserver/cel/validatingadmissionpolicy_test.go,5355,1311,75
cmd/kubeadm/app/phases/upgrade/postupgrade.go,629,570,75
hack/logcheck.conf,126,40,75
vendor/golang.org/x/sys/windows/zsyscall_windows.go,2258,74,75
test/cmd/wait.sh,242,113,75
CHANGELOG/CHANGELOG-1.26.md,9044,22470,75
staging/src/k8s.io/apiserver/pkg/storage/cacher/cacher_test.go,1020,360,74
staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/validation/validation_test.go,3947,164,74
staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/validation/validation.go,770,349,74
pkg/proxy/nftables/proxier_test.go,8690,3718,73
staging/src/k8s.io/kms/internal/plugins/_mock/go.mod,205,99,73
staging/src/k8s.io/apiserver/pkg/storage/testing/watcher_tests.go,2344,608,73
api/openapi-spec/v3/apis__policy__v1_openapi.json,815,215,72
pkg/kubelet/kuberuntime/kuberuntime_container_linux_test.go,1992,606,72
staging/src/k8s.io/kubelet/config/v1beta1/types.go,305,343,72
staging/src/k8s.io/apiserver/pkg/storage/cacher/watch_cache.go,497,275,72
cmd/kubeadm/app/util/etcd/etcd.go,1023,663,72
pkg/kubelet/volumemanager/cache/actual_state_of_world.go,997,318,72
cmd/kubelet/app/options/options.go,98,119,72
api/openapi-spec/v3/apis__autoscaling__v1_openapi.json,784,209,71
cmd/kube-scheduler/app/server.go,206,94,71
CHANGELOG/CHANGELOG-1.23.md,6876,36013,71
api/openapi-spec/v3/apis__internal.apiserver.k8s.io__v1alpha1_openapi.json,727,195,70
pkg/volume/csi/csi_plugin.go,265,418,70
pkg/scheduler/framework/plugins/volumebinding/binder.go,387,535,70
staging/src/k8s.io/apiextensions-apiserver/pkg/generated/openapi/zz_generated.openapi.go,6276,284,70
hack/golangci-hints.yaml,239,14,70
go.work.sum,1020,834,70
staging/src/k8s.io/kms/internal/plugins/_mock/go.sum,458,211,70
test/e2e_node/image_list.go,210,252,70
api/openapi-spec/v3/apis__certificates.k8s.io__v1_openapi.json,809,224,69
pkg/kubelet/apis/config/types.go,333,51,69
test/integration/scheduler/plugins/plugins_test.go,6553,1046,69
pkg/scheduler/eventhandlers.go,522,363,69
plugin/pkg/auth/authorizer/rbac/bootstrappolicy/controller_policy.go,270,149,69
pkg/scheduler/framework/plugins/podtopologyspread/filtering_test.go,3382,1292,69
