entity,age-months
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/celdeviceselector.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/counter.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/counterset.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/device.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceallocationconfiguration.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceallocationresult.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceattribute.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/devicecapacity.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceclaim.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceclaimconfiguration.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceclass.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceclassconfiguration.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceclassspec.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceconfiguration.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceconstraint.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/devicecounterconsumption.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/devicerequest.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/devicerequestallocationresult.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/deviceselector.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/devicesubrequest.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/devicetaint.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/devicetoleration.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/exactdevicerequest.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/networkdevicedata.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/opaquedeviceconfiguration.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/resourceclaim.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/resourceclaimconsumerreference.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/resourceclaimspec.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/resourceclaimstatus.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/resourceclaimtemplate.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/resourceclaimtemplatespec.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/resourcepool.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/resourceslice.go,0
staging/src/k8s.io/client-go/applyconfigurations/resource/v1beta2/resourceslicespec.go,0
