entity,n-authors,n-revs
src/utils/mfa/types.d.ts,9,10
src/components/your-services/tests/your-services-integration.test.ts,9,9
src/services/types.ts,9,9
src/components/search-services/tests/search-services-controller.test.ts,9,9
src/components/resend-email-code/resend-email-code-controller.ts,9,9
ci/terraform/account-management-client.tf,9,9
test/unit/utils/signInHistory.test.ts,9,9
src/components/contact-govuk-one-login/event-service.ts,9,9
src/components/enter-password/tests/enter-password-controller.test.ts,9,9
src/components/session-expired/index.njk,9,9
src/components/redirects/redirects-routes.ts,9,9
src/components/check-your-phone/types.ts,9,9
src/components/add-mfa-method-app/add-mfa-method-app-controller.ts,9,9
src/components/update-confirmation/index.njk,9,9
ci/terraform/cloudwatch.tf,9,9
src/components/track-and-redirect/track-and-redirect-route.ts,9,9
src/utils/dynamodb.ts,9,9
src/utils/dynamo.ts,8,10
src/components/add-mfa-method-app/tests/add-mfa-methods-app-controller.test.ts,8,9
src/utils/sns.ts,8,9
src/components/resend-email-code/tests/resend-email-code-integration.test.ts,8,8
src/components/security/security-routes.ts,8,8
test/pact/change-password-integration.test-pact.ts,8,8
src/components/change-authenticator-app/tests/change-authenticator-app-controller.test.ts,8,8
src/components/resend-phone-code/tests/resend-phone-code-controller.test.ts,8,8
src/middleware/validate-state-middleware.ts,8,8
test/pact/change-phone-number-integration-pact.test.ts,8,8
src/components/enter-password/_delete-account.njk,8,8
src/components/check-your-email/tests/check-your-email-service.test.ts,8,8
src/components/activity-history/activity-history-routes.ts,8,8
src/components/track-and-redirect/track-and-redirect-controller.ts,8,8
src/components/sign-in-history/index.njk,8,8
src/components/enter-password/_change-password.njk,8,8
src/components/sign-in-history/tests/sign-in-history-integration.test.ts,8,8
src/components/add-mfa-method/add-mfa-methods-controller.ts,8,8
src/components/resend-phone-code/tests/resend-phone-code-integration.test.ts,8,8
src/components/sign-in-history/tests/sign-in-history-controller.test.ts,8,8
src/components/search-services/search-services-controller.ts,8,8
src/components/enter-password/_change-email.njk,8,8
src/components/change-password/tests/change-password-controller.test.ts,8,8
src/components/change-authenticator-app/tests/change-authenticator-app-integration.test.ts,8,8
test/unit/middleware/update-session-middleware.test.ts,8,8
src/components/change-email/change-email-controller.ts,8,8
src/components/update-confirmation/update-confirmation-routes.ts,8,8
test/unit/middleware/requires-auth-middleware.test.ts,8,8
test/utils/builders.ts,8,8
test/unit/middleware/outbound-contact-us-links-middleware.test.ts,7,9
.node-version,7,8
src/components/change-default-method/change-default-method-routes.ts,7,8
.github/dependabot.yml,7,8
src/components/change-default-method/index.njk,7,8
.github/PULL_REQUEST_TEMPLATE.md,7,8
test/unit/utils/state-machine.test.ts,7,7
src/components/change-phone-number/change-phone-number-validation.ts,7,7
src/components/add-mfa-method-sms/add-mfa-method-sms-controller.ts,7,7
src/assets/javascript/showPassword.js,7,7
src/components/enter-password/_change-phone-number.njk,7,7
src/components/global-logout/global-logout-routes.ts,7,7
src/components/search-services/index.njk,7,7
src/components/report-suspicious-activity/index.njk,7,7
src/components/add-mfa-method-sms/add-mfa-method-sms-routes.ts,7,7
src/middleware/mfa-method-middleware.ts,7,7
src/components/change-email/tests/change-email-controller.test.ts,7,7
src/components/change-authenticator-app/change-authenticator-app-controller.ts,7,7
src/components/common/gov-uk-publishing/gov-uk-publishing-service.ts,7,7
src/components/resend-phone-code/index.njk,7,7
src/utils/test/mfa-test.ts,7,7
src/config/i18next.ts,7,7
src/components/add-mfa-method/add-mfa-method-routes.ts,7,7
test/unit/middleware/mfa-method-middleware.test.ts,7,7
test/unit/services/event-service.test.ts,7,7
CODEOWNERS,7,7
src/components/change-default-method/change-default-method-controllers.ts,7,7
ci/terraform/.terraform.lock.hcl,7,7
src/middleware/update-session-middleware.ts,7,7
.pre-commit-config.yaml,7,7
src/components/resend-email-code/tests/resend-email-code-controller.test.ts,7,7
post-deploy-tests/Dockerfile,6,12
src/components/change-default-method/tests/change-default-method-controller.test.ts,6,10
src/components/your-services/your-services-routes.ts,6,9
src/middleware/outbound-contact-us-links-middleware.ts,6,9
src/utils/kms.ts,6,7
src/components/common/errors/500.njk,6,7
src/utils/safeTranslate.ts,6,7
src/components/delete-mfa-method/delete-mfa-method-controller.ts,6,7
src/components/check-your-email/check-your-email-service.ts,6,6
test/unit/utils/phone-number.test.ts,6,6
src/components/resend-email-code/index.njk,6,6
src/utils/validation.ts,6,6
src/components/resend-phone-code/resend-phone-code-routes.ts,6,6
src/components/change-email/index.njk,6,6
src/components/common/layout/languageToggle.njk,6,6
tsconfig.json,6,6
src/components/enter-password/tests/enter-password-service.test.ts,6,6
src/components/add-mfa-method/index.njk,6,6
src/components/change-password/tests/change-password-service.test.ts,6,6
src/components/signed-out/index.njk,6,6
src/components/report-suspicious-activity/success.njk,6,6
ci/terraform/site.tf,6,6
src/components/delete-account/types.ts,6,6
src/utils/read-envs.ts,6,6
src/components/check-your-email/types.ts,6,6
src/components/common/mfa/index.ts,6,6
eslint.config.mjs,6,6
src/utils/phone-number.ts,6,6
src/components/change-password/change-password-service.ts,6,6
src/utils/subject-session-index.ts,5,7
src/components/switch-backup-method/tests/change-default-method-controller.test.ts,5,6
.github/workflows/analyse-on-merge.yml,5,6
.github/workflows/pre-merge-checks.yml,5,6
pact-docker-compose.yml,5,5
src/components/check-your-phone/check-your-phone-routes.ts,5,5
src/components/change-password/change-password-validation.ts,5,5
src/middleware/mfa-methods-legacy.ts,5,5
src/components/delete-account/tests/delete-account-service.test.ts,5,5
test/pact/send-otp-code.test-pact.ts,5,5
src/components/common/layout/banner.njk,5,5
ci/terraform/ssm.tf,5,5
ci/terraform/redis.tf,5,5
src/utils/prettifyDate.ts,5,5
src/middleware/overload-protection-middleware.ts,5,5
.github/workflows/dev-instance.yml,5,5
src/components/manage-your-account/manage-your-account-controller.ts,5,5
ci/terraform/redirect-lambda.tf,5,5
src/components/change-password/change-password-routes.ts,5,5
src/components/track-and-redirect/tests/track-and-redirect-controller.test.ts,5,5
ci/terraform/dns.tf,5,5
test/unit/utils/safeTranslate.test.ts,5,5
src/components/redirects/tests/redirects-integration.test.ts,5,5
src/utils/test/txma-header.test.ts,5,5
deploy-sandpit.sh,5,5
test/unit/middleware/refresh-token-middleware.test.ts,5,5
.eslintrc.js,5,5
test/unit/utils/oidc.test.ts,5,5
src/components/change-authenticator-app/tests/change-authenticator-app-service.test.ts,5,5
src/components/change-phone-number/types.ts,5,5
src/components/common/show-password/macro.njk,5,5
src/components/global-logout/types.ts,5,5
src/components/healthcheck/tests/healthcheck-integration.test.ts,5,5
ci/terraform/ecs-roles.tf,5,5
test/unit/middleware/language-toggle-middleware.test.ts,5,5
src/components/change-phone-number/change-phone-number-service.ts,5,5
.github/workflows/ci-only.yml,4,6
src/middleware/subject-session-index-middleware.ts,4,5
src/components/common/confirmation-page/confirmation.njk,4,5
src/components/change-default-method/change-default-method-controller.ts,4,5
.github/workflows/validate-sam-template-dev.yml,4,5
.husky/pre-commit,4,5
src/components/contact-govuk-one-login/types.ts,4,5
src/middleware/check-allowed-services-list.ts,4,4
src/components/change-phone-number/change-phone-number-routes.ts,4,4
src/utils/session-ids.ts,4,4
src/components/manage-your-account/tests/manage-your-account-controller.test.ts,4,4
src/utils/test/session-store.test.ts,4,4
src/services/event-service.test.ts,4,4
src/components/change-authenticator-app/change-authenticator-app-routes.ts,4,4
src/components/enter-password/enter-password-routes.ts,4,4
src/utils/dynamodb-queries.ts,4,4
src/components/change-email/change-email-routes.ts,4,4
src/components/manage-your-account/manage-your-account-routes.ts,4,4
src/components/change-email/change-email-service.ts,4,4
test/unit/utils/present-activity-history.test.ts,4,4
ci/terraform/waf.tf,4,4
src/components/resend-email-code/resend-email-code-routes.ts,4,4
src/assets/javascript/tests/cookies.test.js,4,4
src/middleware/refresh-token-middleware.ts,4,4
test/unit/utils/session-ids.test.ts,4,4
src/utils/txma-header.ts,4,4
src/components/signed-out/signed-out-controller.ts,4,4
src/components/change-email/types.ts,4,4
src/components/global-logout/global-logout-service.ts,4,4
.husky/_/husky.sh,4,4
test/unit/utils/prettifyDate.test.ts,4,4
ci/terraform/network.tf,4,4
src/components/change-phone-number/tests/change-phone-number-service.test.ts,4,4
test/unit/utils/language.toggle.test.ts,4,4
test/unit/middleware/html-lang-middleware.test.ts,4,4
src/components/check-your-email/check-your-email-routes.ts,4,4
src/middleware/form-validation-middleware.ts,4,4
src/utils/decrypt-data.ts,4,4
src/utils/cache.ts,4,4
test/unit/middleware/validate-state-middleware.test.ts,4,4
src/components/add-mfa-method-sms/index.njk,4,4
src/components/add-mfa-method-app/add-mfa-method-app-routes.ts,4,4
test/unit/middleware/overload-protection-middleware.test.ts,4,4
src/components/add-mfa-method-sms/tests/add-mfa-method-sms-controller.test.ts,4,4
src/components/change-password/types.ts,4,4
src/utils/test/redact.test.ts,4,4
src/components/logout/logout-routes.ts,4,4
ci/terraform/shared.tf,4,4
test/unit/utils/activityHistory.test.ts,4,4
src/middleware/auth-middleware.ts,4,4
docs/adr/0004-switch-from-redis-to-dynamodb.md,3,5
src/components/delete-mfa-method/tests/delete-mfa-method-controller.test.ts,3,4
.github/workflows/on-pull-request.yml,3,4
localstack/user_services_table_seed.json,3,4
src/middleware/language-toggle-middleware.ts,3,3
test/unit/app.test.ts,3,3
src/components/start/tests/start-controller.test.ts,3,3
src/components/contact-govuk-one-login/contact-govuk-one-login-routes.ts,3,3
